id,ecorp_primary_location,break_glass_password,secure_safe_pin,tape_consignment_no
1,Yangdun,vM6G>OqpiNZfPX9|,9862,8988210
2,Ad Dimnah,oB8h#=F=\Sm>J`dmL,4088,3900599
5,Kobylanka,"rA6GGo7lJ4)%(}rn#W,X'",8698,7099784
6,Kinkala,nZ6VGbu~Gx`'{2z,9162,6660889
7,Kamenka,cZ1cgCHQlv@R{m7x\<m,6838,8025274
8,Quinua,kX3d&)U.QU>7a~*6tsmNd,4171,5158132
12,Qiubin,"fY4}{qd{Qy*,mJhW)",8042,9258821
13,Jiandou,oH2kgBkVum2_6iOMI$85spx,4858,5780967
17,Cotonou,"jE8rZ>gieVlRT3J,QSQ2!9U.el",3051,1140551
19,Le Port,xO0ZC@Y)1B{U(4(D@\HeBD|W?JZw,9044,8973763
20,Debeljača,qE9LLZA?)V0s{Uv#Y=uE,3831,5840333
23,Myadzyel,dR3EXA7&8mb<HlsjyJXOi$W,2524,3099258
24,Pewel Wielka,"uP4%ehng%""r**!/{79P9wu<O",3739,6537747
25,Anuling,pI8dtp}FelGcceHh,1995,6045506
26,Ash Shaykh Zuwayd,gT7/*FPQW'8Yseu\8VxI'i\M,3598,3764585
27,Sofo-Birnin-Gwari,"kC2T#,FJ40akD80|s$`bhf@",1621,1034002
29,Licheng,"gX6>>7h3@j+fA)Y,NmX#)=4`",8190,6771876
30,Baro,xQ8Gd}he%W(ma%Pzac'JX(yn0XCi,7006,6450470
32,Ertai,qQ1av8dq!eZ=0|*_W,9625,6440211
34,Rognedino,cE5QtLo\d&XS%9`Z$`kw&9o`VZd,7570,6912338
36,Kota Kinabalu,jI85n=FS.zSm7(D19,8519,8373091
37,Chengkou,uD9B.TA|4bDQUO2\4'*zKPu>K?9`,4704,9374372
38,Saint Aubin,nI1#*\30#jCyl7,5683,7775082
39,Bitung,kU4)hSetV~f@f!.6<5Bf9S,7835,4641346
40,Afareaitu,nW3v)xppyUB)dV%A?<DK5FZX|MO,7187,1441025
41,Little Baguio,hQ8W6I4Hb*dGE9d~L&XlNMD(?8,9024,1254580
42,Petrovsk,pU2b1_IgUUfA|82+Wl.*8kHhlf,3556,2377808
44,Chiduo,wJ3$n`KMrT\l_drz2,9677,5374253
45,Hilotongan,gK1X+R(ApLQ7j2\_Qo_UK~iVx,6160,4395710
46,Oskarshamn,yD9BE!z'gje?lRfsRyLV~Uu(05,8256,7214870
48,Lubao,eC6Hx}6h!nC1wEk,8814,5505156
49,Liperi,nD3oe$lIta!TT1o`#7,7106,7770634
50,Lagawe,fX1rT+\$)yi}>_rcQaF3>)o9#*,7857,5259677
54,Dongying,"sW3AQVPrC7f2\6iJ,sd6""&&3",2142,4747924
55,Finiq,jI69oCm!h~i78Nt_n}Zfr_>8'2,3821,4529022
57,Shigutang,"kN4KnSG&h3LN?azSD""MV8PZ*",4826,8346708
58,Derventa,cR0wln+Im++lbDe,2312,8231867
60,Kuhmalahti,"bO2yLX0*""DBA)H0jX=S)ED96J",2206,3704820
61,Lebahseri,zJ5mHy)&c\kYYAn/6dixnZHG$avu,4301,1168626
62,Sloboda,"iR0/tWkn,fK""Av>G)y6",6664,8185563
63,Myrzakent,"tY0h3UCG!$!w7KxW+""&?$",4497,9852251
66,Karadaglije,vF30)Fa8y.SUMI_gV_u~J1,1781,2327677
67,Banzhong,"yX8&P<""_TdAtf0L9+XeOeFe",2456,1957276
69,Liuzhuang,jR6?LbIMj\2y+*%)&q,6026,2353421
70,Lorient,jQ9q\{k'dH)iYO<n7l>)r$,8829,9707401
71,Kadubincarung,wL0?{*K9?fT1g!8UPKs,6645,7741741
72,Waterloo,"pM1.|)}9@7tm9@@2opp4)""$U",1475,4489111
73,Obrera,"iM4gUtY8""O%&u)b",7608,1544892
74,Xibu,vY7>Y|g`2n32r$,8426,3087335
75,Kampungtengah,"jT2un3e!Gv)m,RkV%d",9273,2288882
76,Keboireng,"kD0TfZJ2zAF`S<i&4c,$N`$xi",6112,7285922
77,Bolian,eX7\s=seS#LD0#,6643,4413339
78,Dahewan,"mZ25<""i/$qCM}.e",8539,1959987
79,Omemee,vQ0.0`q91Q9@BQ,3445,4607038
80,Orichi,kD8T\\lc1jEg.Q`9D8,2659,4509226
83,Chicago,xP2k>0)3Zn&S8mii,9001,9384792
84,Meishan,iZ10yX'=XFw#8g$y=,5027,4978936
85,Zheleznogorsk,"uA2A.O,,a8@|kpZi3$J}O{z'2d",3404,8505369
86,East End,"zH92_mI')eQXeb!""YditfImbtqw",1063,5525626
88,Krasnopillya,"nT0rX4~9'Nv`MFYj(A(?k,0F6Gq<",4418,3097561
89,Parang,uE9TW<%#x..D!Gb`slnq*\\,2457,5395071
90,Doksy,zM9&U?h+t_O5ZF,3049,1628342
91,Tongle,bJ6m0B?WbXAFvR6UI6A(g>>Z,5899,7708182
94,Novobeysugskaya,gQ6uK+I1GvKhAzk,2988,2140012
96,Lantian,yB1_&l{ZFIaS\.{hCna_BRb,5308,9682704
97,Tabonoc,wR0E5o'tBC%bWpBB(Ele,6982,1103934
98,Tungi,sV8%z$`tgWRDfDL8Tz%F9S2V,6075,5098555
101,Itapissuma,"hF6S!_.b3U""YFcbRI&{j_",8864,8262089
102,Foso,"lF8*wt+'MbAY$B,j.XI{",8239,9641430
